841,20,1,2,01:38.1,98109
841,20,2,1,01:33.0,93006
841,20,3,1,01:32.7,92713
841,20,4,1,01:32.8,92803
841,20,5,1,01:32.3,92342
841,20,6,1,01:32.6,92605
841,20,7,1,01:32.5,92502
841,20,8,1,01:32.5,92537
841,20,9,1,01:33.2,93240
841,20,10,1,01:32.6,92572
841,20,11,1,01:32.7,92669
841,20,12,1,01:32.9,92902
841,20,13,1,01:33.7,93698
841,20,14,3,01:52.1,112075
841,20,15,4,01:38.4,98385
841,20,16,2,01:31.5,91548
841,20,17,1,01:30.8,90800
841,20,18,1,01:31.8,91810
841,20,19,1,01:31.0,91018
841,20,20,1,01:31.1,91055
841,20,21,1,01:31.3,91288
841,20,22,1,01:31.1,91084
841,20,23,1,01:30.9,90875
841,20,24,1,01:32.2,92240
841,20,25,1,01:31.7,91699
841,20,26,1,01:31.3,91328
841,20,27,1,01:31.6,91568
841,20,28,1,01:31.1,91113
841,20,29,1,01:31.3,91339
841,20,30,1,01:31.1,91054
841,20,31,1,01:31.7,91707
841,20,32,1,01:31.6,91611
841,20,33,1,01:31.4,91406
841,20,34,1,01:31.9,91871
841,20,35,1,01:32.6,92597
841,20,36,1,01:53.7,113737
841,20,37,1,01:39.3,99321
841,20,38,1,01:33.6,93632
841,20,39,1,01:31.0,91005
841,20,40,1,01:30.5,90530
841,20,41,1,01:30.1,90140
841,20,42,1,01:30.4,90419
841,20,43,1,01:30.5,90503
841,20,44,1,01:29.8,89844
841,20,45,1,01:30.5,90470
841,20,46,1,01:30.7,90669
841,20,47,1,01:30.3,90297
841,20,48,1,01:30.5,90471
841,20,49,1,01:30.7,90710
841,20,50,1,01:30.7,90732
841,20,51,1,01:30.9,90873
841,20,52,1,01:31.1,91087
841,20,53,1,01:30.7,90671
841,20,54,1,01:30.7,90656
841,20,55,1,01:30.9,90899
841,20,56,1,01:30.0,89962
841,20,57,1,01:30.5,90516
841,20,58,1,01:31.9,91946
841,1,1,2,01:40.6,100573
841,1,2,2,01:33.8,93774
841,1,3,2,01:32.9,92900
841,1,4,2,01:32.6,92582
841,1,5,2,01:32.5,92471
841,1,6,2,01:32.4,92434
841,1,7,2,01:32.4,92447
841,1,8,2,01:32.3,92310
841,1,9,2,01:32.6,92612
841,1,10,2,01:33.1,93121
841,1,11,2,01:32.7,92737
841,1,12,2,01:32.8,92795
841,1,13,2,01:32.5,92475
841,1,14,1,01:33.0,92984
841,1,15,1,01:33.2,93186
841,1,16,1,01:52.0,112039
841,1,17,2,01:39.6,99566
841,1,18,2,01:31.8,91823
841,1,19,2,01:31.4,91400
841,1,20,2,01:31.2,91194
841,1,21,2,01:31.2,91212
841,1,22,2,01:31.5,91524
841,1,23,2,01:31.4,91414
841,1,24,2,01:31.6,91564
841,1,25,2,01:31.8,91825
841,1,26,2,01:31.4,91419
841,1,27,2,01:31.5,91510
841,1,28,2,01:32.3,92267
841,1,29,2,01:31.8,91826
841,1,30,2,01:31.1,91149
841,1,31,2,01:31.5,91453
841,1,32,2,01:34.3,94258
841,1,33,2,01:32.1,92133
841,1,34,2,01:32.0,92016
841,1,35,2,01:32.4,92427
841,1,36,2,01:53.3,113298
841,1,37,2,01:39.5,99548
841,1,38,2,01:31.0,91013
841,1,39,2,01:30.3,90338
841,1,40,2,01:31.2,91200
841,1,41,2,01:30.3,90314
841,1,42,2,01:30.4,90421
841,1,43,2,01:31.1,91085
841,1,44,2,01:31.2,91175
841,1,45,2,01:30.5,90512
841,1,46,2,01:30.5,90508
841,1,47,2,01:30.6,90637
841,1,48,2,01:30.8,90785
841,1,49,2,01:30.8,90753
841,1,50,2,01:31.0,91010
841,1,51,2,01:31.3,91312
841,1,52,2,01:31.6,91629
841,1,53,2,01:31.5,91470
841,1,54,2,01:31.8,91789
841,1,55,2,01:31.8,91766
841,1,56,2,01:31.8,91813
841,1,57,2,01:32.2,92184
841,1,58,2,01:34.6,94576
841,17,1,3,01:41.5,101467
841,17,2,3,01:33.7,93725
841,17,3,3,01:33.2,93208
841,17,4,3,01:32.9,92933
841,17,5,3,01:32.9,92899
841,17,6,3,01:32.9,92916
841,17,7,3,01:32.9,92900
841,17,8,3,01:33.3,93262
841,17,9,3,01:33.3,93330
841,17,10,3,01:34.2,94248
841,17,11,7,01:55.0,114995
841,17,12,8,01:40.2,100221
841,17,13,7,01:33.7,93661
841,17,14,7,01:34.1,94118
841,17,15,6,01:34.2,94236
841,17,16,5,01:32.5,92497
841,17,17,3,01:32.5,92534
841,17,18,3,01:32.9,92905
841,17,19,3,01:32.7,92730
841,17,20,3,01:32.5,92529
841,17,21,3,01:32.3,92301
841,17,22,3,01:32.3,92342
841,17,23,3,01:32.5,92472
841,17,24,3,01:32.7,92746
841,17,25,3,01:32.9,92920
841,17,26,6,01:51.7,111733
841,17,27,6,01:37.8,97841
841,17,28,5,01:31.3,91348
841,17,29,5,01:31.4,91386
841,17,30,5,01:30.9,90924
841,17,31,4,01:30.8,90796
841,17,32,4,01:30.4,90397
841,17,33,4,01:30.6,90562
841,17,34,4,01:30.5,90474
841,17,35,4,01:30.8,90800
841,17,36,3,01:30.5,90496
841,17,37,3,01:30.6,90627
841,17,38,3,01:30.5,90482
841,17,39,3,01:30.7,90739
841,17,40,3,01:31.7,91670
841,17,41,5,01:53.5,113490
841,17,42,5,01:37.4,97445
841,17,43,5,01:29.7,89686
841,17,44,5,01:30.1,90108
841,17,45,5,01:29.8,89803
841,17,46,5,01:29.8,89804
841,17,47,5,01:30.5,90530
841,17,48,5,01:30.1,90122
841,17,49,5,01:29.7,89713
841,17,50,5,01:29.6,89600
841,17,51,5,01:30.2,90165
841,17,52,5,01:29.8,89825
841,17,53,5,01:30.0,89996
841,17,54,5,01:29.7,89695
841,17,55,5,01:31.1,91124
841,17,56,5,01:30.2,90203
841,17,57,5,01:30.5,90472
841,17,58,5,01:32.3,92279
841,808,1,4,01:42.8,102835
841,808,2,4,01:34.4,94363
841,808,3,4,01:34.0,93962
841,808,4,4,01:33.7,93729
841,808,5,4,01:33.7,93725
841,808,6,4,01:33.6,93573
841,808,7,4,01:33.4,93364
841,808,8,4,01:33.3,93315
841,808,9,4,01:33.4,93357
841,808,10,4,01:33.6,93615
841,808,11,3,01:33.6,93611
841,808,12,3,01:34.2,94156
841,808,13,3,01:33.7,93698
841,808,14,2,01:33.2,93152
841,808,15,2,01:33.5,93470
841,808,16,4,01:53.8,113795
841,808,17,5,01:39.9,99863
841,808,18,4,01:32.0,92045
841,808,19,4,01:32.0,91960
841,808,20,4,01:32.2,92214
841,808,21,4,01:31.8,91849
841,808,22,4,01:32.3,92341
841,808,23,4,01:31.9,91922
841,808,24,4,01:32.5,92517
841,808,25,4,01:33.6,93574
841,808,26,3,01:31.9,91929
841,808,27,3,01:31.3,91275
841,808,28,3,01:31.3,91263
841,808,29,3,01:31.1,91107
841,808,30,3,01:31.5,91479
841,808,31,3,01:31.8,91762
841,808,32,3,01:32.3,92260
841,808,33,3,01:31.8,91809
841,808,34,3,01:31.4,91413
841,808,35,3,01:32.0,91950
841,808,36,5,01:54.4,114357
841,808,37,5,01:39.6,99620
841,808,38,5,01:31.3,91265
841,808,39,5,01:30.7,90662
841,808,40,5,01:30.7,90713
841,808,41,4,01:30.9,90867
841,808,42,3,01:30.5,90525
841,808,43,3,01:30.8,90782
841,808,44,3,01:30.9,90856
841,808,45,3,01:30.8,90826
841,808,46,3,01:31.3,91333
841,808,47,3,01:30.7,90696
841,808,48,3,01:30.9,90885
841,808,49,3,01:31.2,91167
841,808,50,3,01:30.7,90671
841,808,51,3,01:30.8,90755
841,808,52,3,01:30.2,90158
841,808,53,3,01:30.7,90655
841,808,54,3,01:30.6,90631
841,808,55,3,01:30.1,90064
841,808,56,3,01:30.2,90192
841,808,57,3,01:30.1,90120
841,808,58,3,01:30.8,90767
841,13,1,5,01:44.2,104196
841,13,2,5,01:34.5,94485
841,13,3,5,01:35.7,95664
841,13,4,5,01:33.9,93900
841,13,5,5,01:34.7,94712
841,13,6,5,01:33.7,93700
841,13,7,5,01:34.0,94004
841,13,8,5,01:33.8,93833
841,13,9,5,01:33.9,93869
841,13,10,5,01:34.5,94490
841,13,11,6,01:36.7,96699
841,13,12,5,01:34.7,94662
841,13,13,11,01:54.1,114060
841,13,14,12,01:40.3,100250
841,13,15,10,01:33.0,92958
841,13,16,7,01:32.7,92749
841,13,17,7,01:32.4,92433
841,13,18,7,01:33.5,93492
841,13,19,6,01:32.8,92831
841,13,20,6,01:32.7,92661
841,13,21,6,01:32.3,92289
841,13,22,6,01:32.3,92321
841,13,23,6,01:32.5,92541
841,13,24,6,01:32.5,92450
841,13,25,6,01:32.9,92854
841,13,26,5,01:32.7,92724
841,13,27,4,01:33.1,93076
841,13,28,4,01:32.9,92914
841,13,29,4,01:33.2,93194
841,13,30,4,01:33.3,93265
841,13,31,8,01:53.7,113740
841,13,32,7,01:40.0,99973
841,13,33,7,01:31.9,91877
841,13,34,7,01:31.6,91644
841,13,35,7,01:31.6,91601
841,13,36,7,01:31.9,91884
841,13,37,6,01:31.3,91259
841,13,38,6,01:31.3,91263
841,13,39,6,01:31.8,91806
841,13,40,6,01:31.3,91291
841,13,41,6,01:31.2,91207
841,13,42,6,01:31.1,91093
841,13,43,6,01:31.6,91640
841,13,44,6,01:31.5,91490
841,13,45,6,01:31.3,91331
841,13,46,6,01:31.4,91378
841,13,47,6,01:31.5,91541
841,13,48,10,01:53.0,113006
841,13,49,10,01:36.9,96913
841,13,50,10,01:29.5,89451
841,13,51,10,01:30.1,90094
841,13,52,10,01:32.5,92456
841,13,53,10,01:32.8,92819
841,13,54,9,01:30.1,90070
841,13,55,9,01:28.9,88947
841,13,56,9,01:29.8,89770
841,13,57,9,01:30.8,90803
841,13,58,9,01:31.8,91822
841,18,1,6,01:44.7,104722
841,18,2,6,01:34.1,94139
841,18,3,6,01:35.8,95756
841,18,4,6,01:33.8,93818
841,18,5,6,01:35.3,95278
841,18,6,6,01:33.3,93291
841,18,7,6,01:34.0,93959
841,18,8,6,01:34.0,94021
841,18,9,6,01:33.6,93577
841,18,10,6,01:34.7,94653
841,18,11,4,01:34.4,94396
841,18,12,4,01:33.2,93199
841,18,13,4,01:33.5,93453
841,18,14,4,01:33.6,93615
841,18,15,3,01:33.8,93802
841,18,16,3,01:34.9,94897
841,18,17,4,01:48.9,108909
841,18,18,6,01:40.9,100864
841,18,19,9,01:54.4,114427
841,18,20,12,01:39.9,99911
841,18,21,12,01:32.2,92187
841,18,22,12,01:32.0,92018
841,18,23,8,01:32.7,92706
841,18,24,8,01:31.7,91732
841,18,25,7,01:32.0,91968
841,18,26,7,01:31.2,91173
841,18,27,7,01:31.2,91160
841,18,28,7,01:31.1,91143
841,18,29,7,01:30.8,90796
841,18,30,7,01:31.7,91672
841,18,31,6,01:31.1,91055
841,18,32,6,01:31.3,91265
841,18,33,6,01:31.5,91508
841,18,34,6,01:31.6,91615
841,18,35,6,01:31.4,91388
841,18,36,6,01:31.5,91459
841,18,37,7,01:50.4,110438
841,18,38,7,01:39.6,99626
841,18,39,7,01:31.1,91056
841,18,40,7,01:30.6,90585
841,18,41,7,01:30.2,90243
841,18,42,7,01:30.4,90403
841,18,43,7,01:30.4,90411
841,18,44,7,01:30.2,90228
841,18,45,7,01:30.1,90132
841,18,46,7,01:30.2,90177
841,18,47,7,01:30.5,90536
841,18,48,6,01:30.5,90548
841,18,49,6,01:29.9,89883
841,18,50,6,01:30.6,90645
841,18,51,6,01:30.3,90293
841,18,52,6,01:30.1,90098
841,18,53,6,01:30.7,90729
841,18,54,6,01:30.6,90554
841,18,55,6,01:30.1,90106
841,18,56,6,01:30.3,90289
841,18,57,6,01:30.8,90848
841,18,58,6,01:31.2,91203
841,3,1,7,01:45.3,105340
841,3,2,7,01:35.8,95808
841,3,3,7,01:35.4,95436
841,3,4,7,01:35.8,95810
841,3,5,8,01:36.8,96837
841,3,6,8,01:34.9,94856
841,3,7,8,01:34.6,94619
841,3,8,8,01:34.6,94624
841,3,9,8,01:34.7,94691
841,3,10,8,01:34.0,94021
841,3,11,8,01:34.1,94097
841,3,12,6,01:34.9,94862
841,3,13,5,01:34.4,94407
841,3,14,5,01:34.1,94135
841,3,15,5,01:34.5,94473
841,3,16,8,01:54.2,114239
841,3,17,9,01:43.0,102954
841,3,18,9,01:34.9,94939
841,3,19,8,01:34.0,94011
841,3,20,8,01:33.6,93614
841,3,21,8,01:33.5,93503
841,3,22,8,01:34.6,94600
841,155,1,8,01:45.9,105896
841,155,2,9,01:37.1,97118
841,155,3,9,01:35.5,95483
841,155,4,9,01:35.6,95648
841,155,5,9,01:35.6,95633
841,155,6,9,01:35.3,95302
841,155,7,9,01:36.7,96681
841,155,8,9,01:34.5,94520
841,155,9,9,01:34.4,94425
841,155,10,9,01:34.5,94491
841,155,11,9,01:34.6,94586
841,155,12,7,01:34.6,94567
841,155,13,6,01:34.8,94847
841,155,14,6,01:34.3,94342
841,155,15,7,01:35.9,95916
841,155,16,10,01:54.8,114819
841,155,17,10,01:40.6,100585
841,155,18,10,01:32.9,92875
841,155,19,10,01:33.1,93091
841,155,20,9,01:33.3,93333
841,155,21,10,01:34.7,94651
841,155,22,10,01:33.9,93850
841,155,23,7,01:34.2,94158
841,155,24,7,01:32.3,92332
841,155,25,8,01:33.5,93492
841,155,26,8,01:32.7,92662
841,155,27,8,01:32.7,92666
841,155,28,8,01:32.4,92373
841,155,29,8,01:32.2,92164
841,155,30,8,01:32.1,92080
841,155,31,7,01:32.4,92423
841,155,32,11,01:52.1,112120
841,155,33,11,01:39.5,99549
841,155,34,11,01:31.7,91739
841,155,35,11,01:31.3,91269
841,155,36,10,01:31.2,91247
841,155,37,9,01:31.1,91081
841,155,38,9,01:31.3,91339
841,155,39,9,01:31.2,91194
841,155,40,9,01:30.9,90946
841,155,41,9,01:31.0,91027
841,155,42,9,01:31.8,91773
841,155,43,9,01:31.1,91141
841,155,44,9,01:30.8,90818
841,155,45,9,01:31.0,90969
841,155,46,9,01:30.7,90700
841,155,47,9,01:30.7,90735
841,155,48,8,01:30.6,90617
841,155,49,8,01:30.6,90620
841,155,50,8,01:30.7,90696
841,155,51,8,01:30.4,90384
841,155,52,8,01:31.1,91132
841,155,53,8,01:31.2,91237
841,155,54,8,01:31.7,91687
841,155,55,8,01:30.8,90778
841,155,56,8,01:32.3,92265
841,155,57,8,01:31.2,91229
841,155,58,8,01:31.8,91830
841,4,1,9,01:46.1,106144
841,4,2,8,01:36.2,96233
841,4,3,8,01:34.7,94726
841,4,4,8,01:35.4,95355
841,4,5,7,01:34.4,94400
841,4,6,7,01:33.3,93278
841,4,7,7,01:32.9,92903
841,4,8,7,01:33.1,93099
841,4,9,7,01:33.6,93621
841,4,10,7,01:34.1,94053
